Miseq_run,sample,Hash,nReads
5,TR_201711A.2,5846d022f4dc9c22f746488ff272c67a14358bc7,796
6,FH_201708B.1,dc4b8f2ec5e8982d1de4df7f6b77b5c65b328e36,15
3,SA_201705A.2,2485c9849e3d6c918843b3318fcf0df1fca106e2,21
2,PO_201707B.1,a2572d73481da651b72c6f29e5d487811c5f68e3,11
5,SA_201709B.2,e386658ea8bba0fd17afdec6391f37e6393e6606,12
2,LL_201707C.3,08cf52a388f1001205c010735301510010821f9d,4
4,CP_201709A.3,c85e65749cf9620c1e304db909acce67a5e1c940,23
4,LK_201710C.2,2d532a421852a0377dbc758ad6085672635fbccf,17
8,CP_201807C.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,826
4,LK_201709A.3,54c1986900147683572925549b605b9287318b93,11
7,SA_201805A.1,b0df7ca7364a49d20b2f01ac908edd3bce22829b,239
2,TW_201708C.1,7e7418bd80887174e2d3b252681e605ae33d8c74,5
7,TW_201807B.3,258a37548ebf2bd5cd480ac35dc4698474723a1d,29
3,TW_201706A.1,10964141379b2c9b70b2e905f4a0c32cc3e3e936,4
4,FH_201709B.2,fbb46e13ee94cc6825bac20186729c358d30269e,8
7,TW_201803A.3,b8c4b8764b362ff79c0155bf8278afc909f35d7a,95
3,TW_201706B.3,73d4cdc6cc68bc608728e6fdd74662d53edba84a,55
4,LK_201709C.3,272070fc59b209fed9db15669b0a43068660c037,5
4,FH_201711A.1,70e24320d41fbcf7da684cebc8bdf7eb8caf0335,3
1,TW_201703A.3,ad4dfaacc17a5aa11bdae849ad57595ef9877f44,359
6,LK_201708B.2,7be9b1e29a01bbf1b1fce56f741c9042cc39bdf7,115
1,TW_201703C.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,261
3,TW_201706C.1,10d104a255851888626f9885b0f9599429e5145e,109
6,TR_201711C.3,7b38367c269d576ddc878ac1c307059b4a28eb29,1393
2,TW_201707B.1,030cdede52d1bc407379cf53eb7a3b4a8322a616,4
6,LK_201706C.1,e29e8653138a60b8fe2dc0e38e82249a811da993,27
2,TR_201708A.1,4178d3e55cb5a4bb27bef0c8b478b3bb7b9dabba,749
8,FH_201807B.3,60b75e5357c65a3ee9e9f91593d1ac6dee39b1d4,6
8,LK_201805B.3,e7d6b00cd412a9c5e91c777cadcb7820de866de5,3
6,FH_201706C.3,2f5723a58d69dbcde6737abcbcb6e2a3d0455382,100
4,LK_201710A.3,c098ad5ce38196fc2bb4a901b8f826e05a4f7283,3
7,LL_201801C.1,ecbcc3bd709776326a720729ad74c020c160aa3a,8
8,FH_201803B.1,b7eebc972a501f45dc75ca927257bb6f54df7023,14
4,CP_201710C.2,5cc177770b8a0d07bf6a3603c78c99812ab120bf,559
6,PO_201709A.2,f9393c337900a568c4b0551f2d1fb05f006a0387,23
6,LK_201706C.1,77ed8293f4dd48a15487068a04d34f148b0e9025,14
4,LK_201710B.2,179ce671ea3ef78931776bc68ca1ae15cba6c563,6
4,CP_201710B.3,4546a803bece47cdc8f17bf579fb78126c1eb30c,16
6,FH_201708C.3,734b7a5a69d0432764978128ec45e60ee8699e2b,17
6,FH_201706C.2,0b602149cf1612e4cf6c8d8f18eb18ad3b382f34,60
2,SA_201708A.1,3db64d9555a5461037307c2ce8496733496ed607,8
5,PO_201711A.2,1be582f4864bb68faa5cc5f7218171f26c3076b0,382
6,LK_201707B.1,4e78655338655894401bf7eb1efee55c1451314d,12
8,LK_201805B.1,ffca0f921b0125d589516656b1cfe3b845a7b00a,1376
8,FH_201807C.2,4b878acce00f9a3d5cdc1f3344ec325a7dd28784,41
